ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,auth_success,auth_attempts,event_type,username,last_updated_timestamp
2025-04-24T10:20:09.521850Z,SH7123256,125.123.103.182,33424,84.85.166.230,22,tcp,SF,0,ShADadfF,42,2814,25,1100,1.0,1,Successful SSH Login,backup,2026-08-05 08:55:15
2025-04-24T10:20:09.519411Z,SH4156315,191.47.156.160,48545,164.254.24.82,22,tcp,SF,0,ShADadfF,48,3696,15,810,0.0,1,Failed SSH Login,svc_ssh,2026-08-05 08:55:15
2025-04-24T10:20:09.510098Z,SH8764972,116.149.83.216,49810,170.170.25.84,22,tcp,SF,0,ShADadfF,10,750,17,1105,0.0,1,Failed SSH Login,john.doe,2026-08-05 08:55:15
2025-04-24T10:20:09.514391Z,SH2132278,132.199.128.167,52755,187.104.79.154,22,tcp,SF,0,ShADadfF,48,3552,44,3300,,0,Connection Without Authentication,oracle,2026-08-05 08:55:15
2025-04-24T10:20:09.509509Z,SH8979498,113.173.136.4,56495,200.6.78.129,22,tcp,SF,0,ShADadfF,29,2291,10,740,0.0,1,Failed SSH Login,dbadmin,2026-08-05 08:55:15
2025-04-24T10:20:09.521340Z,SH4553234,132.199.128.167,5024,164.186.59.85,22,tcp,SF,0,ShADadfF,38,2014,46,3542,0.0,5,Multiple Failed Authentication Attempts,oracle,2026-08-05 08:55:15
2025-04-24T10:20:09.513008Z,SH4715828,197.168.76.169,26475,123.158.160.191,22,tcp,SF,0,ShADadfF,31,1736,49,2499,1.0,2,Successful SSH Login,svc_user,2026-08-05 08:55:15
2025-04-24T10:20:09.520247Z,SH3383772,111.129.222.243,36733,173.96.169.78,22,tcp,SF,0,ShADadfF,20,1480,21,1407,1.0,1,Successful SSH Login,dbadmin,2026-08-05 08:55:15
2025-04-24T10:20:09.514058Z,SH7067312,212.152.24.209,37226,173.96.169.78,22,tcp,SF,0,ShADadfF,48,3264,40,2120,1.0,2,Successful SSH Login,ubuntu,2026-08-05 08:55:15
2025-04-24T10:20:09.519330Z,SH8431506,110.16.7.177,8695,133.183.125.94,22,tcp,SF,0,ShADadfF,40,2080,12,480,1.0,2,Successful SSH Login,service,2026-08-05 08:55:15
2025-04-24T10:20:09.519075Z,SH1687773,170.86.212.161,19907,91.14.145.242,22,tcp,SF,0,ShADadfF,47,2491,22,924,0.0,6,Multiple Failed Authentication Attempts,admin,2026-08-05 08:55:15
2025-04-24T10:20:09.509357Z,SH4292568,171.204.144.93,49127,91.14.145.242,22,tcp,SF,0,ShADadfF,48,1920,11,627,1.0,1,Successful SSH Login,root,2026-08-05 08:55:15
2025-04-24T10:20:09.509411Z,SH3724181,197.168.76.169,61883,133.183.125.94,22,tcp,SF,0,ShADadfF,49,2989,13,650,,0,Connection Without Authentication,svc_user,2026-08-05 08:55:15
2025-04-24T10:20:09.519290Z,SH7301438,196.134.79.79,29042,133.183.125.94,22,tcp,SF,0,ShADadfF,28,1204,35,1540,0.0,4,Multiple Failed Authentication Attempts,deploy,2026-08-05 08:55:15
2025-04-24T10:20:09.512044Z,SH8572562,129.164.50.72,60772,164.254.24.82,22,tcp,SF,0,ShADadfF,47,2162,30,1200,0.0,1,Failed SSH Login,root,2026-08-05 08:55:15
2025-04-24T10:20:09.511020Z,SH8405026,110.16.7.177,22632,84.85.166.230,22,tcp,SF,0,ShADadfF,16,880,47,2256,0.0,1,Failed SSH Login,service,2026-08-05 08:55:15
2025-04-24T10:20:09.515408Z,SH8646092,110.177.195.150,19992,173.96.169.78,22,tcp,SF,0,ShADadfF,34,2414,45,3150,0.0,1,Failed SSH Login,test,2026-08-05 08:55:15
2025-04-24T10:20:09.518632Z,SH2366340,4.224.23.39,19904,80.101.200.117,22,tcp,SF,0,ShADadfF,47,3102,34,1496,,0,Connection Without Authentication,alice,2026-08-05 08:55:15
2025-04-24T10:20:09.519208Z,SH1221634,110.16.7.177,36169,164.186.59.85,22,tcp,SF,0,ShADadfF,30,1440,11,561,,0,Connection Without Authentication,service,2026-08-05 08:55:15
2025-04-24T10:20:09.514205Z,SH8280041,83.195.24.226,38452,187.104.79.154,22,tcp,SF,0,ShADadfF,28,2156,42,1932,1.0,1,Successful SSH Login,admin,2026-08-05 08:55:15
2025-04-24T10:20:09.513685Z,SH4222730,83.195.24.226,59609,170.170.25.84,22,tcp,SF,0,ShADadfF,24,1032,47,2961,0.0,1,Failed SSH Login,admin,2026-08-05 08:55:15
2025-04-24T10:20:09.516452Z,SH9730746,4.5.47.4,48928,164.254.24.82,22,tcp,SF,0,ShADadfF,18,990,21,1365,,0,Connection Without Authentication,svc_user,2026-08-05 08:55:15
2025-04-24T10:20:09.517980Z,SH1649768,191.43.248.137,15707,133.183.125.94,22,tcp,SF,0,ShADadfF,35,2205,16,688,0.0,4,Multiple Failed Authentication Attempts,test,2026-08-05 08:55:15
2025-04-24T10:20:09.513250Z,SH8901834,102.213.11.119,39623,123.158.160.191,22,tcp,SF,0,ShADadfF,37,1776,44,2376,,0,Connection Without Authentication,webmaster,2026-08-05 08:55:15
2025-04-24T10:20:09.510186Z,SH1487004,147.83.99.54,57286,80.101.200.117,22,tcp,SF,0,ShADadfF,18,1332,24,1008,1.0,1,Successful SSH Login,sysadmin,2026-08-05 08:55:15
2025-04-24T10:20:09.512477Z,SH8729871,135.55.210.223,37837,187.104.79.154,22,tcp,SF,0,ShADadfF,22,1760,17,799,,0,Connection Without Authentication,support,2026-08-05 08:55:15
2025-04-24T10:20:09.517986Z,SH9566260,212.152.24.209,11135,187.104.79.154,22,tcp,SF,0,ShADadfF,17,1122,50,3750,0.0,1,Failed SSH Login,ubuntu,2026-08-05 08:55:15
2025-04-24T10:20:09.515972Z,SH1125373,191.47.156.160,9210,204.226.108.67,22,tcp,SF,0,ShADadfF,18,1206,44,2904,0.0,6,Multiple Failed Authentication Attempts,svc_ssh,2026-08-05 08:55:15
